シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,番号（補助率等）,補助対象,補助率,補助上限等,補助率URL
レビューシート,2024,45,内閣広報経費,1,内閣官房,内閣官房,広報室,,,,,,,,,,
レビューシート,2024,46,情報収集衛星の研究・開発,1,内閣官房,内閣官房,室,,室２,,,,,,,,
レビューシート,2024,47,サイバーセキュリティ戦略本部等経費,1,内閣官房,内閣官房,内閣サイバーセキュリティセンター,,,,,,,,,,
レビューシート,2024,48,内閣サイバーセキュリティセンター情報システム等経費,1,内閣官房,内閣官房,内閣サイバーセキュリティセンター,,,,,,,,,,
レビューシート,2024,49,人身安全関連事案対策の推進,7,警察庁,警察庁,警察庁,生活安全局,人身安全・少年課,,,,,,,,
レビューシート,2024,50,「魅力的な地域をつくる」ための先行事例調査・研究,1,内閣官房,内閣官房,副長官補付,,新しい地方経済・生活環境創生本部事務局,,,,,,,,
レビューシート,2024,56,マイキープラットフォーム関連システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,国民向けサービス,,,カード自治体利用推進班,,,,,,,
レビューシート,2024,74,法人データ連携基盤（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,デジタル社会共通機能,,（旧）基準・標準担当,,ベースレジストリ班,,,,,,
レビューシート,2024,86,特定複合観光施設区域整備推進室経費,1,内閣官房,内閣官房,副長官補付,,特定複合観光施設区域整備推進室,,,,,,,,
レビューシート,2024,87,地理空間情報活用推進経費,1,内閣官房,内閣官房,副長官補付,,地理空間情報活用推進室,,,,,,,,
レビューシート,2024,88,国際博覧会推進本部経費,1,内閣官房,内閣官房,副長官補付,,国際博覧会推進本部事務局,,,,,,,,
レビューシート,2024,89,孤独・孤立対策担当室経費,1,内閣官房,内閣官房,副長官補付,,孤独・孤立対策担当室,,,,,,,,
レビューシート,2024,91,国立公文書館の展示・運営の在り方等に関する調査検討経費,4,内閣府,内閣府,大臣官房,,公文書管理課,,,,,,,,
レビューシート,2024,96,戦略的広報経費（国内）,4,内閣府,内閣府,大臣官房,,政府広報室,,,,,,,,
レビューシート,2024,97,戦略的広報経費（国際）,4,内閣府,内閣府,大臣官房,,政府広報室,,,,,,,,
レビューシート,2024,98,国際広報経費,4,内閣府,内閣府,大臣官房,,政府広報室,,,,,,,,
レビューシート,2024,99,世論調査等経費,4,内閣府,内閣府,大臣官房,,政府広報室,,,,,,,,
レビューシート,2024,100,アイヌ政策推進交付金,4,内閣府,内閣府,大臣官房,,アイヌ施策推進室,,,,1,地域計画認定市町村,'8/10,,https://www8.cao.go.jp/ainu/pdf/kouhuyoukou.pdf
レビューシート,2024,101,政府調達苦情処理の推進に必要な経費,4,内閣府,内閣府,政策統括官（経済財政運営担当）,,参事官（予算編成基本方針担当）,,,,,,,,
レビューシート,2024,102,対日直接投資の促進に必要な経費,4,内閣府,内閣府,政策統括官（経済財政運営担当）,,対日直接投資推進室,,,,,,,,
レビューシート,2024,103,道州制特区の推進に必要な経費,4,内閣府,内閣府,政策統括官（経済財政運営担当）,,道州制特区担当室,,,,,,,,
レビューシート,2024,104,民間資金等活用事業調査等に必要な経費,4,内閣府,内閣府,政策統括官（経済社会システム担当）,,民間資金等活用事業推進室,,,,1,地方公共団体,'都道府県及び政令指定都市は公共施設等運営事業及び広域型PPP/PFI事業に関するものを除き、1/2。,"原則10,000千円。ただし、都道府県及び政令指定都市は公共施設等運営事業及び広域型PPP/PFI事業に関するものを除き、原則5,000千円。",https://www8.cao.go.jp/pfi/shien/r6/pdf/r6_c_boshuuyouryou.pdf
レビューシート,2024,105,市民活動の促進に必要な経費,4,内閣府,内閣府,政策統括官（共生・共助担当）,,政策統括官（共生・共助担当）　参事官（共助社会づくり推進担当）,,,,,,,,
レビューシート,2024,106,休眠預金等活用に関する調査等に必要な経費,4,内閣府,内閣府,政策統括官（共生・共助担当）,,政策統括官（共生・共助担当）　休眠預金等活用担当室,,,,,,,,
レビューシート,2024,107,国内の経済動向調査等に必要な経費,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,参事官（総括担当）,,,,,,,,
レビューシート,2024,108,国内の経済動向に係る産業及び地域経済の調査等に必要な経費,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,参事官（地域担当）,,,,,,,,
レビューシート,2024,109,海外の経済動向調査等に必要な経費,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,参事官（海外担当）,,,,,,,,
レビューシート,2024,110,地方創生に向けたSDGs推進事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,地方公共団体,'地方創生支援事業費補助金①自治体SDGsモデル事業・全体マネジメント・普及啓発等経費：補助率10/10・事業実施経費：補助率１/２②広域連携SDGsモデル事業・複数の市区町村が実施する広域連携事業に係る経費：補助率２/３・複数の都道府県及び市区町村が実施する広域連携事業に係る経費：補助率１/２③ＳＤＧｓ自治体施策支援補助金・専門人材の派遣に係る費用（旅費及び人件費を含む。）及びプロジェクトの企画・実行に係る経費：補助率１/２,"①2,000万円　②1,500万円又は2,000万円　③1,000万円",https://www.chisou.go.jp/tiiki/kankyo/miraitoshi.html
レビューシート,2024,111,地方創生リーダー人材の育成・普及事業に必要な経費,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,,'定額,,
レビューシート,2024,112,地方版総合戦略の推進に必要な経費,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,,,,,
レビューシート,2024,113,高校生の地域留学の推進のための高校魅力化支援事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,地方公共団体,,予算の範囲内で全額,https://www.chisou.go.jp/sousei/about/chiikiryugaku/pdf/01_chiikiryuugaku_youkou_201225.pdf
レビューシート,2024,114,地域の担い手展開推進事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,,,,,
レビューシート,2024,116,地方へのサテライトキャンパス設置等に関するマッチング支援事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,,,,,
レビューシート,2024,118,関係人口創出・拡大のための対流促進事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,民間事業者等,'定額,モデル事業にあっては、1件当たり500万円,
レビューシート,2024,119,地方創生テレワーク推進事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,,,,,
レビューシート,2024,121,地方創生臨時交付金効果促進事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,,,,,
レビューシート,2024,122,新型コロナウイルス感染症対応地方創生臨時交付金,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,地方公共団体,"'通常分,電力・ガス・食料品等価格高騰重点支援地方交付金：10/10、協力要請推進枠等交付金：8/10、検査促進枠交付金：10/10,8/10",,
レビューシート,2024,123,国家戦略特区の推進に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,国家戦略特区に資する事業を実施する事業者,'利子補給率：0.7％以内,金融機関が事業の実施者へ最初に貸付けした日から起算して５年間,https://www.chisou.go.jp/tiiki/kokusentoc/risihokyukin.html
レビューシート,2024,124,中心市街地の活性化の推進に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,,,,,
レビューシート,2024,125,構造改革特別区域計画の認定等に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,,,,,
レビューシート,2024,126,地域再生の推進に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,地域再生に資する事業を実施する事業者,'利子補給率：0.7％以内,金融機関が事業の実施者へ最初に貸付けした日から起算して５年間,https://www.chisou.go.jp/tiiki/tiikisaisei/kankei.html
レビューシート,2024,127,地方創生応援税制（企業版ふるさと納税）普及促進事業,4,内閣府,内閣府,地方創生推進事務局,,,,,,,,,,
レビューシート,2024,128,総合特区計画に基づく支援措置等に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,総合特区に資する事業を実施する事業者,'利子補給率：0.7％以内,金融機関が事業の実施者へ最初に貸付けした日から起算して５年間,https://www.chisou.go.jp/tiiki/sogotoc/sien/index.html
レビューシート,2024,129,総合特区の推進調整に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,,,,,
レビューシート,2024,130,デジタル田園都市国家構想交付金（地方創生推進タイプ）＜（旧）地方創生推進交付金＞,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,基本的にはソフト事業,'１／２,,https://www.chisou.go.jp/sousei/about/kouhukin/senku/pdf/denenkohukin_2024suisin_koufuyoukou.pdf
レビューシート,2024,131,デジタル田園都市国家構想交付金（地方創生拠点整備タイプ）＜（旧）地方創生拠点整備交付金＞,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,ハード事業,'１／２,,https://www.chisou.go.jp/sousei/about/kouhukin/kyotenseibi/pdf/denenkohukin_2024kyoten_koufuyoukou.pdf
レビューシート,2024,132,交付金効果検証分析事業,4,内閣府,内閣府,地方創生推進事務局,,,,,,,,,,
レビューシート,2024,133,地方大学・地域産業創生交付金,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,①計画推進に関するもの、②大学改革に関するもの、③先導的研究基盤等の整備・活用に関するもの,'①交付率1/2、②交付率2/3、③交付率3/4,①～③の対象経費を組み合わせ、国費7億円を上限,https://www.chisou.go.jp/sousei/about/daigaku_kouhukin/pdf/daigaku_kouhukin_231106_kohuyoko.pdf
レビューシート,2024,134,スーパーシティ構想等の推進に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,,,,,
レビューシート,2024,135,総合戦略に基づく重点施策広報事業,4,内閣府,内閣府,地方創生推進事務局,,,,,,,,,,
レビューシート,2024,136,都市再生推進経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,,,,,
レビューシート,2024,137,産業遺産に係る情報収集・情報発信の充実強化に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,,,,,
レビューシート,2024,138,特定地域づくり事業の推進に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,特定地域づくり事業協同組合の派遣職員人件費及び事務局運営費,'対象経費について、1/2までの範囲で地方公共団体が支援した額の1/2,・派遣職員人件費（対象経費の上限額：400万円/年・人）・事務局運営費（対象経費の上限額：600万円/年）,https://www.soumu.go.jp/main_content/000868062.pdf
レビューシート,2024,140,戦略的イノベーション創造プログラム（エネルギー分野、次世代インフラ分野及び地域資源分野）,4,内閣府,内閣府,科学技術・イノベーション推進事務局,,参事官（重要課題担当）,,,,,,,,
レビューシート,2024,141,科学技術イノベーション創造推進費（健康・医療分野）,4,内閣府,内閣府,科学技術・イノベーション推進事務局,,,日本医療研究開発機構担当室,,,,,,,
レビューシート,2024,142,研究開発とSociety5.0との橋渡しプログラム（BRIDGE）,4,内閣府,内閣府,科学技術・イノベーション推進事務局,,参事官（事業推進総括担当）,,,,,,,,
レビューシート,2024,143,遺棄化学兵器廃棄処理事業経費,4,内閣府,内閣府,大臣官房,,遺棄化学兵器処理担当室,,,,,,,,
レビューシート,2024,144,防災に関する普及・啓発に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（普及啓発・連携担当）,,,,1,,'特定地震防災対策施設の運営を行う地方公共団体に対し補助事業を実施するために必要な経費の１/２を予算の範囲内で交付,,
レビューシート,2024,145,国と地方の防災を担う人材の育成に係る経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（地方・訓練担当）,,,,,,,,
レビューシート,2024,146,国際防災協力の推進に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（普及啓発・連携担当）,,,,,,,,
レビューシート,2024,147,災害復旧・復興に関する施策の推進に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（被災者生活再建担当）,,,,,,,,
レビューシート,2024,148,被災者支援に関する総合的対策の推進経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（避難生活担当）,,,,,,,,
レビューシート,2024,149,地震対策等の推進に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（調査・企画担当）,,,,,,,,
レビューシート,2024,151,非常災害発生に伴う現地災害対策等に要する経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（災害緊急事態対処担当）,,,,,,,,
レビューシート,2024,152,災害対策本部予備施設等の維持管理に要する経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（復旧・復興担当）,,,,,,,,
レビューシート,2024,153,被災者生活再建支援法施行に要する経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（被災者生活再建担当）,,,,1,支援法人,'１/２（東日本大震災は４/５）,,
レビューシート,2024,154,船舶活用医療推進経費,1,内閣官房,内閣官房,副長官補付,,船舶活用医療推進本部設立準備室,,,,,,,,
レビューシート,2024,155,防災計画の推進経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（防災計画担当）,,,,1,,'該当なし,,
レビューシート,2024,156,社会全体としての事業継続体制の構築推進経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（防災計画担当）,,,,1,,'該当なし,,
レビューシート,2024,157,災害救助等に要する経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（被災者生活再建担当）,,,,1,,'災害救助費：救助に要した費用等の合計額が普通税収入見込額の２/100以下の部分は50/100、２/100超4/100以下の部分は80/100、４/100超の部分は90/100（災害救助法第21条）災害弔慰金・災害障害見舞金：２分の１（災害弔慰金の支給等に関する法律第７条）災害援護資金：貸付額の３分の２を指定都市又は都道府県に貸付（災害弔慰金の支給等に関する法律第12条）,,
レビューシート,2024,158,原子力災害対策事業,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（総括担当）,,,,1,,'定額,,
レビューシート,2024,159,原子力発電施設等緊急時安全対策交付金,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（総括担当）,,,,1,原子力発電施設等の所在道府県等,'定額,,
レビューシート,2024,160,原子力防災体制等構築事業,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（企画・国際担当）,,,,,,,,
レビューシート,2024,161,原子力防災研修等事業,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（総合調整・訓練担当）,,,,,,,,
レビューシート,2024,162,原子力災害時避難円滑化モデル実証事業,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（総括担当）,,,,1,発電用施設である原子力発電施設の周囲おおむね３０キロメートルの区域内にある市町村をその区域内に含む都道府県,'定額,１事業あたり５億円,https://www8.cao.go.jp/genshiryoku_bousai/pdf/01_modelkouhuyoukou_kai1.pdf
レビューシート,2024,163,沖縄振興交付金推進事業推進費,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（企画担当）,,,,1,沖縄県・市町村等,'（沖縄振興特別推進交付金）8/10以内（沖縄振興公共投資交付金）既存の高率補助を適用,,
レビューシート,2024,164,沖縄における鉄軌道等導入課題検討に必要な経費,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（企画担当）,,,,,,,,
レビューシート,2024,166,公立文教施設整備に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,事業振興室,,,1,県、市町村,'公立学校施設整備費負担金：新築、増築事業等　8.5/10学校施設環境改善交付金：改築、補強事業　7.5/10、2/3、1/2空調設備設置臨時特例交付金：1/2,,
レビューシート,2024,167,医師歯科医師等の派遣に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,事業振興室,,,,,,,
レビューシート,2024,168,沖縄北部連携促進特別振興対策特定開発事業費,4,内閣府,内閣府,沖縄振興局,,参事官（特定事業担当）,,,,1,沖縄県、北部12市町村等,'各公共事業の沖縄県のかさ上げされた高率補助率,,
レビューシート,2024,169,（建設海岸）海岸事業,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,1,地方公共団体,'国費率　9/10,,
レビューシート,2024,170,（港湾海岸）海岸事業,4,内閣府,内閣府,沖縄振興局,,参事官（振興第三担当）,,,,1,海岸管理者,'９/10,,
レビューシート,2024,171,水道施設整備に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,1,沖縄県の市町村が実施する水道施設整備及び県が実施する指導監督に係る経費について、当該経費の一部を補助※沖縄県の補助率は、沖縄振興特別措置法等に基づき嵩上げを実施,'上水道施設整備（補助率：１／２）、簡易水道施設整備（補助率：２／３）、指導監督費（補助率：１／２）,,
レビューシート,2024,172,廃棄物処理施設整備に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,事業振興室,,,1,地方公共団体等,'1/2,,https://www.env.go.jp/recycle/waste/3r_network/2_koufu/koufu_youkou.pdf
レビューシート,2024,173,良好で緑豊かな都市空間の形成等のための国営公園事業に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,,,,,
レビューシート,2024,174,森林整備事業に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第二担当）,,,,1,地方公共団体、市町村森林組合、森林所有者等,'２／３等,,
レビューシート,2024,175,治山事業に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第二担当）,,,,1,地方公共団体,'９／１０等,,
レビューシート,2024,176,水産基盤整備に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第二担当）,,,,1,地方公共団体,'９／１０等,,
レビューシート,2024,177,農業農村整備事業に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第二担当）,,,,1,地方公共団体、民間団体,'国が実施主体となる事業における補助率は95％であり、県営・団体営等が主体となる事業については、80％等である。,,https://www.maff.go.jp/j/nousin/tizai/gaidorain.html
レビューシート,2024,178,社会資本整備総合交付金,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,1,地方公共団体等,'各事業の国費率については社会資本整備総合交付金交付要綱を参照,,https://www.mlit.go.jp/page/kanbo05_hy_000213.html
レビューシート,2024,179,防災・安全交付金,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,1,地方公共団体等,'各事業の国費率については社会資本整備総合交付金交付要綱を参照,,https://www.mlit.go.jp/page/kanbo05_hy_000213.html
レビューシート,2024,180,沖縄開発事業（道路事業）,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,1,地方公共団体,'国費率　9.5/10、9/10、8/10,,
レビューシート,2024,181,駐留軍用地跡地利用推進に必要な経費,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（政策調整担当）,,,,1,沖縄県、市町村等,'内閣府が実施する駐留軍用地跡地利用推進事業費補助金について、当該経費の一部を補助【補助率：１０分の８以内】,,
レビューシート,2024,182,沖縄の特殊事情に伴う特別対策に必要な経費／（沖縄振興開発金融公庫・補給金）,4,内閣府,内閣府,沖縄振興局,,参事官（調査金融担当）,,,,,,,,
レビューシート,2024,183,沖縄の特殊事情に伴う特別対策に必要な経費／（沖縄振興開発金融公庫に対する出資金に必要な経費）,4,内閣府,内閣府,沖縄振興局,,参事官（調査金融担当）,,,,,,,,
レビューシート,2024,184,沖縄のこどもの貧困対策に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,事業振興室,,,1,,'8/10、9/10、10/10,,
レビューシート,2024,185,沖縄科学技術大学院大学学園に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,沖縄科学技術大学院大学室,,,1,学校法人沖縄科学技術大学院大学学園,'定額,,
レビューシート,2024,186,沖縄北部連携促進特別振興事業費,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（政策調整担当）,,,,1,北部12市町村等,'8/10,,
レビューシート,2024,187,沖縄の戦後処理対策に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（特定事業担当）,,,特定事業第１担当主査,1,沖縄県,'沖縄県が実施する不発弾等処理交付金について、当該経費の一部を補助【補助率：90％】対馬丸記念会が実施する平和祈念事業のうち、特別展の開催等について、当該経費を沖縄県を通じて補助【補助率：100％】,,
レビューシート,2024,188,沖縄・地域安全パトロール事業,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（総括担当）,,,,,,,,
レビューシート,2024,190,沖縄域外競争力強化促進事業,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（産業振興担当）,,,,1,①「沖縄域外競争力強化事業」【中小企業等】②「沖縄物流デジタル技術活用推進事業」【中小企業等】,'①「沖縄域外競争力強化事業」【補助率：2/3】②「沖縄物流デジタル技術活用推進事業」補助事業者【定額】、間接補助事業者【補助率：2/3】,①「沖縄域外競争力強化事業」補助事業者（補助上限額：2億円）②「沖縄物流デジタル技術活用推進事業」（補助上限額：2千万円）,https://www8.cao.go.jp/okinawa/4/ikigai/ikigai.html
レビューシート,2024,192,沖縄離島活性化推進事業,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（企画担当）,,,,1,離島を含む市町村,'補助率：８／１０以内,,
レビューシート,2024,193,沖縄小規模離島生活基盤整備推進事業,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（企画担当）,,,,1,一般送配電事業者,'1(1)　補助率2/3【補助対象：電気事業者】1(2)　補助率2/3、10/10【補助対象：電気事業者】2　    補助率10/10【補助対象：自治体】,,
レビューシート,2024,195,沖縄の高校中退者等に係る人材育成推進に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,事業振興室,,,1,主として観光や情報通信分野の専門学校に進学した学生に対する沖縄独自の給付型奨学金事業を実施する団体,'10/10,,
レビューシート,2024,197,沖縄糖業振興対策事業に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第二担当）,,,,1,市町村、民間事業者,'8/10以内、定額,,
レビューシート,2024,199,沖縄国立大学法人施設整備に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,事業振興室,,,1,国立大学法人琉球大学,'10/10,,
レビューシート,2024,202,沖縄振興特定事業推進費,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（企画担当）,,,,1,市町村等、民間事業者,'補助率：8/10以内,,
レビューシート,2024,204,高齢社会対策推進経費,4,内閣府,内閣府,政策統括官（共生・共助担当）,,参事官（高齢社会対策担当）,,,,,,,,
レビューシート,2024,205,バリアフリー・ユニバーサルデザイン施策推進経費,4,内閣府,内閣府,政策統括官（共生・共助担当）,,参事官（総合調整担当）,,,,,,,,
レビューシート,2024,206,障害者施策推進経費,4,内閣府,内閣府,政策統括官（共生・共助担当）,,参事官（障害者施策担当）,,,,,,,,
レビューシート,2024,207,交通安全対策推進経費,4,内閣府,内閣府,政策統括官（共生・共助担当）,,参事官（交通安全対策担当）,,,,,,,,
レビューシート,2024,210,青年国際交流経費,4,内閣府,内閣府,政策統括官（共生・共助担当）,,参事官（青年国際交流担当）,,,,,,,,
レビューシート,2024,211,男女共同参画に関する普及・啓発に必要な経費,4,内閣府,内閣府,男女共同参画局,,総務課,,,,,,,,
レビューシート,2024,212,男女共同参画を促進するための地方公共団体・民間団体等との連携に必要な経費,4,内閣府,内閣府,男女共同参画局,,総務課,,,,,,,,
レビューシート,2024,213,国際交流・国際協力の促進に必要な経費,4,内閣府,内閣府,男女共同参画局,,総務課,,,,,,,,
レビューシート,2024,214,女性の参画の拡大に向けた取組に必要な経費,4,内閣府,内閣府,男女共同参画局,,推進課,,,,,,,,
レビューシート,2024,215,食品健康影響評価技術の研究に必要な経費,4,内閣府,内閣府,食品安全委員会,事務局,評価第一課,,,,,,,,
レビューシート,2024,216,女性活躍促進に向けた取組に必要な経費,4,内閣府,内閣府,男女共同参画局,,総務課,,,,1,都道府県、政令指定都市、市区町村,'補助率：①及び③（A、C)は２分の１、②及び③（B)は４分の３,"①は都道府県　800万円（注）、政令指定都市　500万円、市区町村　250万円、②は都道府県　1,200万円、政令指定都市　750万円、市区町村　375万円、③（A、C）は都道府県・市・特別区　800万円、町村　500万円、③（B)は一律1,125万円　注）推進計画未策定市町村への策定支援事業実施等の条件付きで1,000万円とする。",
レビューシート,2024,217,仕事と生活の調和の推進に必要な経費,4,内閣府,内閣府,男女共同参画局,,仕事と生活の調和推進室,,,,,,,,
レビューシート,2024,219,リスクコミュニケーション実施経費,4,内閣府,内閣府,食品安全委員会,事務局,情報・勧告広報課,,,交流係,,,,,
